flux0_1,flux0_2,flux0_3,flux2_1,flux2_2,flux2_3,id,x,y,z
3.3019686080235e-05,0.01337874106855,0.20000219631204,1.0155296738689e-06,2.5202780525212e-06,2.3283593740901e-05,92.462925851703,0,92.462925851703,0
4.2354817804394e-05,0.013858350142115,0.2069019181717,1.3026342590633e-06,2.7685668989916e-06,2.3797122532537e-05,94.613226452906,0,94.613226452906,0
5.4400053688561e-05,0.014355322884627,0.21397330461867,1.6730888551271e-06,3.0712888310293e-06,2.4236332571965e-05,96.763527054108,0,96.763527054108,0
6.9851511931854e-05,0.014871101906281,0.22121529096237,2.1483027718233e-06,3.4417815537672e-06,2.4576822431087e-05,98.913827655311,0,98.913827655311,0
8.9667726640808e-05,0.015407927586416,0.22863028070476,2.7577559934788e-06,3.8983877024456e-06,2.4785520872893e-05,101.06412825651,0,101.06412825651,0
0.00011507582062003,0.015968556180962,0.23621977260351,3.5391890248635e-06,4.4644579412626e-06,2.4820007081401e-05,103.21442885772,0,103.21442885772,0
0.00014764648343193,0.016556398720581,0.24398407111826,4.540908862305e-06,5.1697036849144e-06,2.4625938497612e-05,105.36472945892,0,105.36472945892,0
0.00018938981023315,0.01717569751718,0.25192191597028,5.8247365436692e-06,6.0519089676469e-06,2.4133779187798e-05,107.51503006012,0,107.51503006012,0
0.00024287778808522,0.017831750347804,0.2600300087381,7.4697742483946e-06,7.1590945204038e-06,2.3254640946583e-05,109.66533066132,0,109.66533066132,0
0.00031189085446007,0.018532515562833,0.26830640010954,9.5922903823945e-06,8.5615070034235e-06,2.1858568432656e-05,111.81563126253,0,111.81563126253,0
0.00040051197797447,0.019285784962175,0.27673771895121,1.2317857770416e-05,1.0333994963863e-05,1.9804690570495e-05,113.96593186373,0,113.96593186373,0
0.00051417513382657,0.020102079447563,0.28530904524569,1.5813599786546e-05,1.2575514993984e-05,1.6906520841917e-05,116.11623246493,0,116.11623246493,0
0.0006599227280427,0.020994923799621,0.29400037775884,2.0296107430837e-05,1.5413188630884e-05,1.292334691716e-05,118.26653306613,0,118.26653306613,0
0.00084676937450424,0.02198141124862,0.30278426449238,2.6042627146625e-05,1.9008090760728e-05,7.5483544194613e-06,120.41683366733,0,120.41683366733,0
0.001086252169259,0.023083161284311,0.31162370961003,3.3407983881863e-05,2.3564097288496e-05,3.9077112292495e-07,122.56713426854,0,122.56713426854,0
0.0013931339960032,0.024327530559822,0.32046951098303,4.2846208995165e-05,2.933895397172e-05,-9.0467274720055e-06,124.71743486974,0,124.71743486974,0
0.0017881113113566,0.025752764910443,0.32925455122125,5.4993810106393e-05,3.6690119174325e-05,-2.1457453024471e-05,126.86773547094,0,126.86773547094,0
0.0022963822389896,0.027404481077607,0.3378897528532,7.0625704390778e-05,4.6044961388924e-05,-3.7679099973209e-05,129.01803607214,0,129.01803607214,0
0.0029483247056375,0.029336819359951,0.34626342769845,9.0675988966829e-05,5.7909029666493e-05,-5.8713022071576e-05,131.16833667335,0,131.16833667335,0
0.0037843541546235,0.031621415656798,0.35422992855096,0.00011638706141162,7.2944928341929e-05,-8.5881666196643e-05,133.31863727455,0,133.31863727455,0
0.0048562072391944,0.034348913791541,0.36160144075883,0.00014934821753657,9.1984379851967e-05,-0.000120862634304,135.46893787575,0,135.46893787575,0
0.0062301015603007,0.037633919094141,0.36813652781113,0.00019159004129389,0.00011606896522224,-0.00016578182220319,137.61923847695,0,137.61923847695,0
0.0079907748454843,0.041621196193956,0.37352563359484,0.00024569984925129,0.0001464994410709,-0.0002233301647225,139.76953907816,0,139.76953907816,0
